sic4,sic4desc
111,Wheat Farm
112,Rice Farm
115,Corn Farm
116,Soybean Farm
119,Cash Grains Farm
131,Cotton Farm
132,Tobacco Farm
133,Sugarcane/Sugar Beet Farm
134,Irish Potato Farm
139,Field Crop Farm
161,Vegetable/Melon Farm
171,Berry Crop Farm
172,Grape Vineyard
173,Tree Nut Grove
174,Citrus Fruit Grove
175,Fruit Tree Orchard
179,Fruit/Nut Farm
181,Ornamental Nursery
182,Food Crops Grown Under Cover
191,General Crop Farm
211,Beef Cattle/Feedlot
212,Beef Cattle
213,Hog Farm/Feedlot
214,Sheep/Goat Farm
219,General Livestock Farm
241,Dairy Farm
251,Chicken Farm
252,Chicken Egg Farm
253,Turkey/Turkey Egg Farm
254,Poultry Hatchery
259,Poultry/Poultry Egg Farm
271,Fur Bearing Animal Farm
272,Equines Farm
273,Fish/Shellfish Farm
279,Animal Farm
291,General Animal Farm
711,Soil Preparation Services
721,Crop Planting/Protecting
722,Crop Harvesting Services
723,Crop Preparation For Market
724,Cotton Ginning Services
741,Veterinary Services-Livestock
742,Veterinary Services
751,Livestock Services
752,Animal Services
761,Farm Labor Contractor
762,Farm Management Services
781,Landscape Services
782,Lawn And Garden Services
783,Shrub And Tree Services
811,Timber Tract Operation
831,Forest Product Gathering Service
851,Forestry Services
912,Finfish Fishery
913,Shellfish Fishery
919,Catcher Marine Products
921,Fish Hatchery/Preserve
971,Game Management
1011,Iron Ore Mine
1021,Copper Ore Mine
1041,Gold Ore Mine
1044,Silver Ore Mine
1061,Ferroalloy Ore Mine
1081,Metal Mining Services
1094,Uranium/Radium/Vanadium Mine
1099,Metal Ore Mine
1221,Coal/Lignite Surface Mine
1222,Underground Coal Mine
1241,Coal Mining Services
1311,Petroleum/Gas Production
1321,Producer Of Natural Gas Liquids
1381,Oil/Gas Well Driller
1382,Oil/Gas Exploration Services
1389,Oil/Gas Field Services
1411,Dimension Stone Quarry
1422,Crushed Limestone Producer
1423,Crushed Granite Producer
1429,Crushed Stone Producer
1442,Construction Sand/Gravel Producer
1446,Industrial Sand Mine
1455,Kaolin/Ball Clay Mine
1459,Clay/Related Mineral Mine
1474,Potash/Soda/Borate Mine
1479,Mineral Raw Material Mine
1481,Nonmetallic Mineral Services
1499,Nonmetallic Mineral Mine
1521,Single-Family Homes Contractor
1522,Residential Construction Contractor
1531,Operative Builders
1541,Industrial Building Contractor
1542,Nonresidential Construction Contractor
1611,Highway/Street Construction Contractor
1622,Bridge/Tunnel Construction Contractor
1623,Water/Sewer/Utility Contractor
1629,Heavy Construction Contractor
1711,Plumbing/Heating/Ac Contractor
1721,Painting/Paper Hanging Contractor
1731,Electrical Contractor
1741,Masonry Contractor
1742,Drywall/Insulating Contractor
1743,Tile Contractor
1751,Carpenter
1752,Floor Laying Contractor
1761,Roofing/Siding Contractor
1771,Concrete Contractor
1781,Water Well Drilling Contractor
1791,Structural Steel Erection Contractor
1793,Glass/Glazing Contractor
1794,Excavation Contractor
1795,Demolition Contractor
1796,Installer Of Building Equipment
1799,Trade Contractor
2011,Meat Packing Plant
2013,Manufacturer Of Prepared Meat
2015,Poultry Processer
2021,Manufacturer Of Creamery Butt
2022,Manufacturer Of Cheese
2023,Manufacturer Of Dry/Dairy Products
2024,Manufacturer Of Frozen Desser
2026,Manufacturer Of Fluid Milk
2032,Manufacturer Of Canned Specialties
2033,Manufacturer Of Canned Fruits
2034,Manufacturer Of Dried Fruits/Vegetables
2035,Manufacturer Of Pickles/Sauce
2037,Manufacturer Of Frozen Fruits
2038,Manufacturer Of Frozen Foods
2041,Manufacturer Of Grain Mill Products
2043,Manufacturer Of Cereal Breakfast Food
2044,Rice Mill
2045,Manufacturer Of Prepared Flour Mixes/Dough
2046,Wet Corn Mill
2047,Manufacturer Of Pet Food
2048,Manufacturer Of Prepared Feed
2051,Manufacturer Of Bakery Products
2052,Manufacturer Of Cookies/Crackers
2053,Manufacturer Of Frozen Bakery Products
2061,Manufacturer Of Raw Cane Sugar
2062,Cane Sugar Refiner
2063,Manufacturer Of Beet Sugar
2064,Manufacturer Of Confectionery
2066,Manufacturer Of Chocolate/Cocoa Products
2067,Manufacturer Of Chewing Gum
2068,Manufacturer Of Salted/Roasted Peanuts
2074,Cottonseed Oil Mill
2075,Soybean Oil Mill
2076,Vegetable Oil Mill
2077,Manufacturer Of Inedible Animal Fats/Oils
2079,Manufacturer Of Edible Fats/Oils
2082,Manufacturer Of Malt Beverage
2083,Manufacturer Of Malt
2084,Manufacturer Of Wines/Brandy/Spirits
2085,Manufacturer Of Distilled/Blended Liquors
2086,Manufacturer Of Soft Drinks
2087,Manufacturer Of Flavor Extracts/Syrups
2091,Canner/Cures Seafood
2092,Preparer Of Fresh/Frozen Fish
2095,Manufacturer Of Coffee
2096,Manufacturer Of Potato Chips/Snacks
2097,Manufacturer Of Ice
2098,Manufacturer Of Macaroni/Spaghetti
2099,Manufacturer Of Food Preparations
2111,Manufacturer Of Cigarettes
2121,Manufacturer Of Cigars
2131,Manufacturer Of Tobacco
2141,Tobacco Stemming/Redrier
2211,Cotton Broadwoven Fabric Mill
2221,Manmade Broadwoven Fabric Mill
2231,Wool Broadwoven Fabric Mill
2241,Narrow Fabric Mill
2251,Manufacturer Of Women's Hosiery
2252,Hosiery Manufacturer
2253,Knit Outerwear Mill
2254,Knit Underwear Mill
2257,Weft Knit Fabric Mill
2258,Lace/Warp Knit Fabric Mill
2259,Knitting Mill
2261,Cotton Finishing Plant
2262,Manmade Fabric Finishing Plan
2269,Finishing Plant
2273,Manufacturer Of Carpets/Rugs
2281,Yarn Spinning Mill
2282,Throwing/Winding Mill
2284,Thread Mill
2295,Manufacturer Of Coated Fabric
2296,Manufacturer Of Tire Cord/Fabrics
2297,Manufacturer Of Nonwoven Fabrics
2298,Manufacturer Of Fiber Cordage
2299,Manufacturer Of Textile Goods
2311,Manufacturer Of Men's Suits/Coats
2321,Manufacturer Of Men's Furnish
2322,Manufacturer Of Men's Underwear
2323,Manufacturer Of Men's Neckwear
2325,Manufacturer Of Men's Trouser
2326,Manufacturer Of Men's Work Clothing
2329,Manufacturer Of Men's Clothing
2331,Manufacturer Of Women' Blouses
2335,Manufacturer Of Women's Dresses
2337,Manufacturer Of Women's Suits
2339,Manufacturer Of Women's Outerwear
2341,Manufacturer Of Women's Underwear
2342,Manufacturer Of Bras/Girdles
2353,Manufacturer Of Hats/Milliner
2361,Manufacturer Of Girls' Dresses
2369,Manufacturer Of Girls' Outerwear
2371,Manufacturer Of Fur Goods
2381,Manufacturer Of Fabric Gloves
2385,Manufacturer Of Waterproof Outerwear
2386,Manufacturer Of Leather Clothing
2387,Manufacturer Of Apparel Belts
2389,Manufacturer Of Accessory Apparel
2391,Manufacturer Of Curtains/Draperies
2392,Manufacturer Of Household Furnishings
2393,Manufacturer Of Textile Bags
2394,Manufacturer Of Canvas/Relate
2395,Pleating/Stitching Services
2396,Manufacturer Of Apparel Trimm
2397,Manufacturer Of Schiffli Embroideries
2399,Manufacturer Of Fabricated Textile Items
2411,Logging Mill
2421,Sawmill/Planing Mill
2426,Hardwood Dimension/Floor Mill
2429,Special Product Sawmill
2431,Manufacturer Of Millwork
2434,Manufacturer Of Wood Kitchen
2435,Manufacturer Of Hardwood Veneer/Plywood
2436,Manufacturer Of Softwood Veneer
2439,Manufacturer Of Structural Wood Members
2441,Manufacturer Of Wood Boxes/Shook
2448,Manufacturer Of Wood Pallets/Skids
2449,Manufacturer Of Wood Containers
2451,Manufacturer Of Mobile Homes
2452,Manufacturer Of Prefab Wood Buildings
2491,Wood Preserver
2493,Manufacturer Of Reconstituted Wood Items
2499,Manufacturer Of Wood Products
2511,Manufacturer Of Wood Household Furniture
2512,Manufacturer Of Upholstered Furniture
2514,Manufacturer Of Metal Household Furniture
2515,Manufacturer Of Mattresses/Bedsprings
2517,Manufacturer Of Wood Tv/Radio
2519,Manufacturer Of Household Furniture
2521,Manufacturer Of Wood Office Furniture
2522,Manufacturer Of Office Furniture
2531,Manufacturer Of Public Building Furniture
2541,Manufacturer Of Wood Partitions/Fixtures
2542,Manufacturer Of Partitions/Fixtures
2591,Manufacturer Of Drapery Hardware/Blinds
2599,Manufacturer Of Furniture/Fixtures
2611,Pulp Mill
2621,Paper Mill
2631,Paperboard Mill
2652,Manufacturer Of Setup Paperboard Boxes
2653,Manufacturer Of Solid Fiber Boxes
2655,Manufacturer Of Fiber Cans/Drums
2656,Manufacturer Of Sanitary Food
2657,Manufacturer Of Folding Paper
2671,Manufacturer Of Packaging Paper/Film
2672,Manufacturer Of Coated/Laminator Paper
2673,Manufacturer Of Plastic/Coated Paper Bags
2674,Manufacturer Of Uncoated Pape
2675,Manufacturer Of Die-Cut Paper
2676,Manufacturer Of Sanitary Paper Products
2677,Manufacturer Of Envelopes
2678,Manufacturer Of Stationery Products
2679,Manufacturer Of Converted Pap
2711,Newspaper Publisher
2721,Periodical Publisher
2731,Book Publisher
2732,Book Printer
2741,Miscellaneous Publisher
2752,Lithographic Printer
2754,Gravure Commercial Printer
2759,Commercial Printer
