industry_name,employees_at_location_range,product_type,product,currency,year,spend
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2010,500.3042434
Services,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2010,560.6158801
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2010,376.3286826
Manufacturing,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2010,508.6220429
Construction,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2010,390.6477246
Wholesale & retail trade,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2010,376.3743991
Transportation and Public Utilities,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2010,544.0987673
Public Administration,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2010,261.9233025
Nonclassified Establishments,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2010,389.5392225
"Finance, Insurance, and Real Estate",Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2010,2374.219854
Services,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2010,2392.61006
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2010,1573.951312
Manufacturing,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2010,2702.765266
Construction,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2010,1654.942129
Wholesale & retail trade,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2010,1761.774915
Transportation and Public Utilities,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2010,2661.043213
Public Administration,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2010,1529.383948
Nonclassified Establishments,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2010,1652.085438
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2010,18816.81784
Services,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2010,8909.406046
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2010,5089.765306
Manufacturing,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2010,8087.608673
Construction,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2010,5596.606762
Wholesale & retail trade,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2010,5866.138212
Transportation and Public Utilities,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2010,8737.505371
