city,country,product,sub_product,infousa_industry,infousa_size,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Frankfurt,Germany,,Traditional Fixed Voice,"Agriculture, Forestry, and Fishing plus mining",1-9 Emp,393.0969557,342.088063,298.3078679,260.5538211,218.375948,180.3533835,146.9084796,117.0828194,90.82392547,68.61949777,50.82545017,36.75128371,25.92920419
Frankfurt,Germany,,Traditional Fixed Voice,Construction,1-9 Emp,421.4310346,367.0584728,320.4662788,280.3076537,235.2085895,194.5007536,158.6343835,126.5841613,98.32018548,74.37923243,55.16361548,39.94082334,28.21710565
Frankfurt,Germany,,Traditional Fixed Voice,"Finance, Insurance, and Real Estate",1-9 Emp,577.7920718,507.0553792,450.2408109,396.5023386,335.9202618,280.1474518,230.4022383,185.9616786,145.8469546,111.4069437,83.42854934,60.99245268,43.50754519
Frankfurt,Germany,,Traditional Fixed Voice,Manufacturing,1-9 Emp,562.3575219,487.1773654,420.4003924,360.7410656,300.4242711,245.7630901,198.2870312,156.0651461,119.7025563,89.39823966,65.43718049,46.74734422,32.57535539
Frankfurt,Germany,,Traditional Fixed Voice,Nonclassified Establishments,1-9 Emp,426.9342451,372.0716962,325.0919385,284.5834258,238.9371525,197.6992484,161.3275858,128.8389825,100.140017,75.80818003,56.26248207,40.76499317,28.8197002
Frankfurt,Germany,,Traditional Fixed Voice,Public Administration,1-9 Emp,285.0955629,251.4278047,226.243521,197.7015141,168.4319104,140.7305748,115.8676262,93.95110831,73.88344141,56.58712429,42.48741393,31.14202741,22.27131093
Frankfurt,Germany,,Traditional Fixed Voice,Wholesale & retail trade,1-9 Emp,457.4112451,399.9451962,351.4484218,308.9320589,260.4432777,216.3100235,177.1555113,142.1690019,110.9722729,84.36795476,62.88404183,45.75879346,32.48986021
Frankfurt,Germany,,Traditional Fixed Voice,Services,1-9 Emp,642.6827567,565.9255803,504.9055811,447.6497115,380.1449928,318.2271636,262.6834775,212.9929638,167.7073819,128.6041717,96.6765171,70.94502957,50.79566118
Frankfurt,Germany,,Traditional Fixed Voice,Transportation and Public Utilities,1-9 Emp,618.4076297,541.5589558,481.4335361,419.5357512,354.6957231,294.4479943,241.0598108,193.9648188,151.5307708,115.3005484,86.01238749,62.64133839,44.51428715
Frankfurt,Germany,,Traditional Fixed Voice,"Agriculture, Forestry, and Fishing plus mining",10-49 Emp,1669.750834,1425.891945,1221.688945,1039.03914,870.5425631,718.5239494,584.7689772,466.1006652,361.3520267,272.8063394,201.9038041,145.863216,102.8072322
Frankfurt,Germany,,Traditional Fixed Voice,Construction,10-49 Emp,1793.483927,1532.850058,1314.915305,1120.093422,939.6881015,776.6046567,632.8550605,505.093837,392.1081358,296.4267208,219.6845426,158.926939,112.1700259
Frankfurt,Germany,,Traditional Fixed Voice,"Finance, Insurance, and Real Estate",10-49 Emp,2676.869556,2309.746195,2016.148527,1735.263623,1473.18713,1232.231416,1016.752343,821.4749013,645.4485232,493.8296966,370.3690036,271.1313393,193.6325946
Frankfurt,Germany,,Traditional Fixed Voice,Manufacturing,10-49 Emp,2882.760072,2443.611806,2062.484493,1719.113336,1428.062235,1165.700882,938.7599169,735.6829672,562.3641664,418.4785148,305.1717357,217.1550909,150.6985448
Frankfurt,Germany,,Traditional Fixed Voice,Nonclassified Establishments,10-49 Emp,1798.767128,1537.233011,1318.669241,1123.1076,942.0884888,778.4426244,634.2035329,506.1501887,392.8744896,296.9652146,220.0531522,159.171416,112.3268161
Frankfurt,Germany,,Traditional Fixed Voice,Public Administration,10-49 Emp,1655.048961,1431.501078,1251.390746,1073.872417,911.4576698,759.193649,622.9450018,504.5423553,395.8669004,302.4537371,226.5271417,165.6069835,118.113609
Frankfurt,Germany,,Traditional Fixed Voice,Wholesale & retail trade,10-49 Emp,1992.81262,1706.181296,1468.596648,1254.126048,1055.033798,873.84685,713.5810456,571.2240319,444.5901982,336.9731246,250.38343,181.6084635,128.5145227
Frankfurt,Germany,,Traditional Fixed Voice,Services,10-49 Emp,2671.009943,2306.446206,2015.523709,1738.130782,1474.27148,1231.961282,1015.052955,821.6171221,645.661537,494.0687961,370.6044285,271.3440471,193.8128376
Frankfurt,Germany,,Traditional Fixed Voice,Transportation and Public Utilities,10-49 Emp,2975.653511,2554.576037,2222.255121,1888.345686,1592.965327,1320.2307,1078.876873,866.8070736,675.9249922,513.2819227,382.10948,277.6765973,196.8683102
Frankfurt,Germany,,Traditional Fixed Voice,"Agriculture, Forestry, and Fishing plus mining",50-249 Emp,6110.017131,5242.672244,4537.97342,3861.472829,3244.004158,2684.39385,2189.881284,1749.310511,1359.01005,1028.145301,762.231246,551.4923173,389.2007724
Frankfurt,Germany,,Traditional Fixed Voice,Construction,50-249 Emp,6765.010981,5816.996332,5046.861795,4309.225729,3629.668074,3011.778343,2463.341711,1973.377159,1537.406667,1166.418415,867.2242875,629.2745223,445.3912849
Frankfurt,Germany,,Traditional Fixed Voice,"Finance, Insurance, and Real Estate",50-249 Emp,17943.07601,15618.94868,13798.8742,11952.39103,10239.65569,8661.206157,7233.012488,5866.629816,4644.9882,3580.942423,2704.91293,1993.767513,1433.256745
Frankfurt,Germany,,Traditional Fixed Voice,Manufacturing,50-249 Emp,8321.219063,7054.477686,5990.207182,4996.032175,4147.742831,3386.849645,2727.383071,2133.713734,1629.073136,1210.587818,881.0816876,625.47202,432.8317928
Frankfurt,Germany,,Traditional Fixed Voice,Nonclassified Establishments,50-249 Emp,6664.962872,5725.87434,4963.378572,4232.405813,3561.280333,2951.760198,2411.642808,1929.887391,1501.865362,1138.186794,845.2867617,612.6645237,433.1424006
Frankfurt,Germany,,Traditional Fixed Voice,Public Administration,50-249 Emp,18637.42046,16061.52123,14009.60552,11918.49529,10039.40974,8288.011431,6732.643799,5416.807793,4214.832449,3193.744645,2371.523964,1718.630241,1214.859734
Frankfurt,Germany,,Traditional Fixed Voice,Wholesale & retail trade,50-249 Emp,7484.745967,6445.014368,5605.804481,4795.960634,4050.470857,3368.382944,2760.895515,2216.690832,1730.873391,1316.182539,980.8037824,713.3185872,506.0361853
Frankfurt,Germany,,Traditional Fixed Voice,Services,50-249 Emp,10358.38045,8986.625919,7904.379085,6810.813374,5790.715448,4848.561883,4002.018033,3240.943995,2549.736534,1953.395757,1466.496823,1074.455522,767.845182
Frankfurt,Germany,,Traditional Fixed Voice,Transportation and Public Utilities,50-249 Emp,10253.23525,8844.338611,7757.416723,6578.345034,5562.95054,4616.493841,3776.917097,3036.882311,2370.098354,1801.337025,1341.647168,975.2514687,691.4982425
Frankfurt,Germany,,Traditional Fixed Voice,"Agriculture, Forestry, and Fishing plus mining",250+ Emp,9896.024209,8433.435571,7232.16854,6162.582093,5202.516468,4322.923811,3536.684982,2851.665366,2227.682772,1694.609809,1262.247522,917.1519082,649.6973438
Frankfurt,Germany,,Traditional Fixed Voice,Construction,250+ Emp,66780.13614,56976.4348,48831.62057,41628.81941,35245.92952,29360.38354,24086.78882,19421.17051,15195.12368,11577.17225,8637.084377,6285.819103,4460.031458
Frankfurt,Germany,,Traditional Fixed Voice,"Finance, Insurance, and Real Estate",250+ Emp,192104.6355,166735.2884,145726.2948,126978.8699,110292.7182,94610.16829,80083.23563,65535.24496,52452.52046,40869.93721,31173.77871,23189.47419,16813.72206
Frankfurt,Germany,,Traditional Fixed Voice,Manufacturing,250+ Emp,80253.94456,67269.09412,56477.11846,47295.27834,39565.90855,32620.71999,26519.92013,20883.49639,16069.51782,12035.80266,8822.822924,6306.001418,4391.927846
Frankfurt,Germany,,Traditional Fixed Voice,Nonclassified Establishments,250+ Emp,63546.89245,54150.60407,46371.62716,39479.54766,33390.15974,27786.33448,22776.38078,18340.94683,14333.93853,10908.70805,8129.091261,5909.287513,4187.972938
Frankfurt,Germany,,Traditional Fixed Voice,Public Administration,250+ Emp,243756.4123,208267.7936,179105.1987,152257.3742,128786.0842,106894.6368,87237.16205,70523.20883,55105.49157,41929.59622,31239.66347,22704.68096,16087.88724
Frankfurt,Germany,,Traditional Fixed Voice,Wholesale & retail trade,250+ Emp,76842.56935,65747.84522,56454.57585,48320.66192,41158.96979,34514.90958,28512.58245,23040.18855,18113.76658,13867.93353,10396.61798,7603.499453,5421.5996
Frankfurt,Germany,,Traditional Fixed Voice,Services,250+ Emp,74018.98466,63787.48282,55472.65909,47773.7852,40951.74006,34541.69796,28708.29341,23408.4816,18535.78144,14292.4809,10790.97789,7947.57218,5706.638041
Frankfurt,Germany,,Traditional Fixed Voice,Transportation and Public Utilities,250+ Emp,177438.5522,151006.184,129664.5879,109489.3483,92672.91557,76994.49809,63033.54011,50651.76584,39515.36491,30018.60362,22328.76626,16201.38054,11460.49316
Frankfurt,Germany,,IP Voice,"Agriculture, Forestry, and Fishing plus mining",1-9 Emp,24.73231516,31.53448459,39.26706552,50.54574233,63.08417327,75.79004355,85.69278664,93.13809944,99.66087248,110.1102235,114.9363308,117.1172624,116.4353997
Frankfurt,Germany,,IP Voice,Construction,1-9 Emp,26.51499844,33.83631587,42.18383663,54.37785704,67.9467659,81.73520397,92.53259178,100.6963127,107.8865004,119.3525772,124.7466286,127.2815373,126.7092484
Frankfurt,Germany,,IP Voice,"Finance, Insurance, and Real Estate",1-9 Emp,36.35269979,46.74156093,59.26640669,76.91886825,97.04022899,117.726583,134.3953044,147.9304769,160.0375085,178.7690651,188.6647597,194.3678796,195.3711489
Frankfurt,Germany,,IP Voice,Manufacturing,1-9 Emp,35.38161073,44.90915873,55.3384323,69.98141447,86.78619116,103.2772158,115.6622702,124.148113,131.3493238,143.4528154,147.9791993,148.9722379,146.2800206
Frankfurt,Germany,,IP Voice,Nonclassified Establishments,1-9 Emp,26.86124161,34.29844662,42.79272464,55.20732895,69.02386856,83.07930993,94.10355631,102.4899983,109.8833971,121.6455368,127.2315981,129.9079629,129.4152064
Frankfurt,Germany,,IP Voice,Public Administration,1-9 Emp,17.93723714,23.17720813,29.78104207,38.3528046,48.65640157,59.13931964,67.58643066,74.7370768,81.07212054,90.80248476,96.08075177,99.24194825,100.0095865
Frankfurt,Germany,,IP Voice,Wholesale & retail trade,1-9 Emp,28.77875015,36.8678916,46.26209929,59.930805,75.23653134,90.90013055,103.3361006,113.0938826,121.7696051,135.3809727,142.2055488,145.8219708,145.8961035
Frankfurt,Germany,,IP Voice,Services,1-9 Emp,40.43539961,52.16835493,66.46207716,86.84112508,109.8158145,133.7288501,153.2251865,169.433568,184.0249023,206.3645837,218.6236248,226.0842835,228.0985204
Frankfurt,Germany,,IP Voice,Transportation and Public Utilities,1-9 Emp,38.90809169,49.92218201,63.37238886,81.3872001,102.464061,123.7361112,140.6119442,154.2968872,166.2743462,185.0169348,194.5078339,199.622471,199.8919356
Frankfurt,Germany,,IP Voice,"Agriculture, Forestry, and Fishing plus mining",10-49 Emp,100.1786753,150.55742,216.122421,308.577808,412.0911491,503.7836236,568.6661915,606.6958225,622.3477613,667.7130155,656.7921718,619.9199262,560.4915534
Frankfurt,Germany,,IP Voice,Construction,10-49 Emp,107.6021885,161.8509389,232.614595,332.6496177,444.8227645,544.5061482,615.428128,657.4509408,675.318256,725.5255872,714.6328346,675.4408616,611.5362773
Frankfurt,Germany,,IP Voice,"Finance, Insurance, and Real Estate",10-49 Emp,160.6019538,243.8820343,356.6659929,515.3452111,697.3666801,863.9628621,988.7540291,1069.265565,1111.640212,1208.68348,1204.808712,1152.310531,1055.659524
Frankfurt,Germany,,IP Voice,Manufacturing,10-49 Emp,172.9545987,258.0166684,364.8630394,510.5488372,676.0057833,817.3158529,912.9092812,957.5952496,968.5460551,1024.256077,992.7222915,922.9110095,821.5887118
Frankfurt,Germany,,IP Voice,Nonclassified Establishments,10-49 Emp,107.9191604,162.3137272,233.2786835,333.5447798,445.9590424,545.7948151,616.7394676,658.8259318,676.6381284,726.8435892,715.83192,676.4798911,612.3910771
Frankfurt,Germany,,IP Voice,Public Administration,10-49 Emp,99.29661911,151.1496786,221.3768069,318.9227275,431.4592467,532.298649,605.7909627,656.7331096,681.7918844,740.2771404,736.8917789,703.8311086,643.9399132
Frankfurt,Germany,,IP Voice,Wholesale & retail trade,10-49 Emp,119.5611491,180.1526792,259.8015348,372.4551384,499.4242771,612.686234,693.9311614,743.5287261,765.7068291,824.7658087,814.496178,771.8375367,700.6443316
Frankfurt,Germany,,IP Voice,Services,10-49 Emp,160.2503993,243.5335942,356.5554598,516.196711,697.8799821,863.7734614,987.1014375,1069.450685,1112.00708,1209.268694,1205.574548,1153.214541,1056.642185
Frankfurt,Germany,,IP Voice,Transportation and Public Utilities,10-49 Emp,178.5278504,269.7331862,393.127202,560.8081061,754.0664176,925.6624039,1049.167836,1128.271787,1164.129089,1256.294194,1243.00043,1180.127934,1073.300221
Frankfurt,Germany,,IP Voice,"Agriculture, Forestry, and Fishing plus mining",50-249 Emp,624.6161667,873.8389484,1040.68977,1254.01248,1506.739344,1763.618477,1968.273687,2158.790455,2224.691026,2303.540814,2266.474718,2150.209719,1964.333213
Frankfurt,Germany,,IP Voice,Construction,50-249 Emp,691.5750212,969.566229,1157.392729,1399.420139,1685.868275,1978.706639,2214.060966,2435.306795,2516.725181,2613.339205,2578.668787,2453.47424,2247.932059
Frankfurt,Germany,,IP Voice,"Finance, Insurance, and Real Estate",50-249 Emp,1834.288696,2603.337583,3164.484647,3881.536445,4756.002564,5690.321191,6501.059331,7239.895014,7603.81688,8023.03625,8042.988007,7773.486862,7233.782737
Frankfurt,Germany,,IP Voice,Manufacturing,50-249 Emp,850.6634011,1175.827341,1373.729362,1622.460386,1926.497936,2225.124533,2451.382351,2633.175079,2666.782622,2712.299949,2619.873405,2438.648689,2184.543112
Frankfurt,Germany,,IP Voice,Nonclassified Establishments,50-249 Emp,681.3472812,954.3781833,1138.247589,1374.472888,1654.10429,1939.27535,2167.593794,2381.636909,2458.544285,2550.086772,2513.438127,2388.713627,2186.110779
Frankfurt,Germany,,IP Voice,Public Administration,50-249 Emp,1905.270292,2677.104761,3212.81149,3870.528812,4662.994533,5445.136188,6051.326036,6684.778308,6899.654584,7155.526683,7051.664619,6700.75599,6131.512303
Frankfurt,Germany,,IP Voice,Wholesale & retail trade,50-249 Emp,765.1522466,1074.243118,1285.574602,1557.487196,1881.318119,2212.992105,2481.503465,2735.575519,2833.429008,2948.882996,2916.394451,2781.153084,2554.012624
Frankfurt,Germany,,IP Voice,Services,50-249 Emp,1058.918781,1497.874248,1812.704855,2211.810195,2689.607772,3185.454073,3597.029138,3999.586647,4173.902896,4376.547601,4360.590031,4189.187472,3875.387462
Frankfurt,Germany,,IP Voice,Transportation and Public Utilities,50-249 Emp,1048.169974,1474.158061,1779.002095,2136.31615,2583.818035,3032.987814,3394.707554,3747.758048,3879.836308,4035.862782,3989.352841,3802.401449,3490.057217
