city,country,product,sub_product,infousa_industry,infousa_size,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Paris,France,,Traditional Fixed Voice,"Agriculture, Forestry, and Fishing plus mining",1-9 Emp,265.9652528,232.0330527,201.7767548,176.6010078,156.338551,138.3577743,122.1105659,106.7142489,92.2671439,78.75908928,66.28611858,54.9277115,44.74226172
Paris,France,,Traditional Fixed Voice,Construction,1-9 Emp,285.1357917,248.9700962,216.7648014,189.9899756,168.3892865,149.2109039,131.8571561,115.3741749,99.88252165,85.36991377,71.94391678,59.69473172,48.69016097
Paris,France,,Traditional Fixed Voice,"Finance, Insurance, and Real Estate",1-9 Emp,390.9280197,343.9278368,304.5448661,268.7456752,240.490253,214.9146146,191.5107131,169.4933633,148.1645049,127.8690417,108.8068024,91.15806323,75.07465171
Paris,France,,Traditional Fixed Voice,Manufacturing,1-9 Emp,380.4851661,330.4448869,284.3606757,244.5070099,215.0781515,188.5367133,164.8165011,142.2443952,121.6046645,102.6082115,85.34261263,69.8676176,56.21055956
Paris,France,,Traditional Fixed Voice,Nonclassified Establishments,1-9 Emp,288.8592059,252.3704882,219.893618,192.888055,171.0586195,151.6646234,134.0957502,117.4293146,101.7312709,87.01001047,73.37704921,60.92651896,49.72997087
Paris,France,,Traditional Fixed Voice,Public Administration,1-9 Emp,192.89265,170.5395989,153.0321134,134.0002863,120.5828804,107.9612078,96.30935834,85.63102598,75.05747065,64.94874662,55.41172284,46.54423259,38.43036659
Paris,France,,Traditional Fixed Voice,Wholesale & retail trade,1-9 Emp,309.4796225,271.276653,237.7212593,209.3913369,186.4551706,165.9418461,147.2519476,129.5788598,112.7356544,96.83462423,82.01283097,68.39015,56.06303295
Paris,France,,Traditional Fixed Voice,Services,1-9 Emp,434.8323725,383.8585855,341.5203573,303.4128988,272.1513879,244.1273971,218.3429314,194.1308234,170.3723007,147.6074261,126.084689,106.0329796,87.65069495
Paris,France,,Traditional Fixed Voice,Transportation and Public Utilities,1-9 Emp,418.4080777,367.3310803,325.6437627,284.3575125,253.9318817,225.8852501,200.3693047,176.7877648,153.9386386,132.3379867,112.1766221,93.62245384,76.81184009
Paris,France,,Traditional Fixed Voice,"Agriculture, Forestry, and Fishing plus mining",10-49 Emp,1669.279248,1458.140604,1272.241729,1116.030682,991.4297227,880.3880992,779.5533101,684.198878,593.899252,508.9705294,430.0845864,357.8211793,292.6363774
Paris,France,,Traditional Fixed Voice,Construction,10-49 Emp,1792.977395,1567.517734,1369.325742,1203.090987,1070.177098,951.55283,843.6566856,741.4377673,644.4483809,553.0387063,467.9601558,389.8681676,319.2871682
Paris,France,,Traditional Fixed Voice,"Finance, Insurance, and Real Estate",10-49 Emp,2676.113531,2361.984529,2099.57559,1863.844555,1677.76002,1509.820062,1355.428699,1205.860124,1060.825364,921.330357,788.9400619,665.1199546,551.1668766
Paris,France,,Traditional Fixed Voice,Manufacturing,10-49 Emp,2881.945897,2498.877709,2147.828912,1846.497551,1626.368894,1428.301986,1251.457292,1079.924356,924.2722693,780.7488332,650.0603607,532.7092934,428.9569449
Paris,France,,Traditional Fixed Voice,Nonclassified Establishments,10-49 Emp,1798.259104,1571.999814,1373.235014,1206.328512,1072.910813,953.8048425,845.4543291,742.988408,645.7079198,554.0433657,468.7453481,390.4679011,319.7334648
Paris,France,,Traditional Fixed Voice,Public Administration,10-49 Emp,1654.581527,1463.876597,1303.172574,1153.445062,1038.026471,930.21959,830.4456239,740.6282358,650.6260894,564.2832165,482.5358911,406.2551737,336.2053225
Paris,France,,Traditional Fixed Voice,Wholesale & retail trade,10-49 Emp,1992.249792,1744.769115,1529.36633,1347.055269,1201.540178,1070.701078,951.2721908,838.5116582,730.705148,628.685499,533.3532688,445.5088568,365.8110775
Paris,France,,Traditional Fixed Voice,Services,10-49 Emp,2670.255572,2358.609906,2098.924918,1866.924167,1678.994948,1509.489075,1353.163252,1206.068892,1061.175462,921.7764413,789.4415512,665.641754,551.6799304
Paris,France,,Traditional Fixed Voice,Transportation and Public Utilities,10-49 Emp,2974.8131,2612.351561,2314.210756,2028.269813,1814.171115,1617.643222,1438.246676,1272.404164,1110.914891,957.6220717,813.948991,681.1763119,560.3772021
Paris,France,,Traditional Fixed Voice,"Agriculture, Forestry, and Fishing plus mining",50-249 Emp,7833.853125,6888.399864,6048.296651,5314.397326,4726.320634,4200.919047,3723.136063,3271.697086,2842.179575,2437.638612,2061.339373,1716.132054,1404.296771
Paris,France,,Traditional Fixed Voice,Construction,50-249 Emp,8673.642198,7643.010068,6726.552685,5930.622512,5288.209964,4713.256591,4188.060981,3690.764022,3215.271165,2765.471535,2345.277209,1958.174474,1607.040858
Paris,France,,Traditional Fixed Voice,"Finance, Insurance, and Real Estate",50-249 Emp,23005.40556,20521.89398,18391.40006,16449.61851,14918.56779,13554.28002,12297.23722,10972.22908,9714.343601,8490.087445,7315.028808,6204.199459,5171.412707
Paris,France,,Traditional Fixed Voice,Manufacturing,50-249 Emp,10668.90756,9268.949282,7983.861226,6875.847949,6043.013994,5300.221197,4636.972032,3990.638003,3406.978772,2870.193157,2382.752456,1946.34186,1561.724262
Paris,France,,Traditional Fixed Voice,Nonclassified Establishments,50-249 Emp,8545.36724,7523.283965,6615.284669,5824.8982,5188.573103,4619.331712,4100.164869,3609.426063,3140.941492,2698.53694,2285.950481,1906.487533,1562.844984
Paris,France,,Traditional Fixed Voice,Public Administration,50-249 Emp,23895.64732,21103.39451,18672.26674,16402.9691,14626.82139,12970.25214,11446.53325,10130.93682,8814.73297,7572.076875,6413.428664,5348.028166,4383.402404
Paris,France,,Traditional Fixed Voice,Wholesale & retail trade,50-249 Emp,9596.438002,8468.169291,7471.52205,6600.497141,5901.294527,5271.321892,4693.948359,4145.828249,3619.879777,3120.548596,2652.435812,2219.702531,1825.857068
Paris,France,,Traditional Fixed Voice,Services,50-249 Emp,13280.81892,11807.61831,10535.10568,9373.461884,8436.727135,7587.71518,6804.048134,6061.466477,5332.417591,4631.322941,3965.919341,3343.487306,2770.504548
Paris,France,,Traditional Fixed Voice,Transportation and Public Utilities,50-249 Emp,13146.0088,11620.66558,10339.23147,9053.5246,8104.887244,7224.542295,6421.341811,5679.814385,4956.729444,4270.805574,3628.282292,3034.784445,2495.032945
Paris,France,,Traditional Fixed Voice,"Agriculture, Forestry, and Fishing plus mining",250+ Emp,12224.94157,10878.121,9673.981208,8555.798131,7615.299448,6769.806857,5995.671034,5304.727449,4620.147193,3972.649734,3367.794457,2810.563524,2305.095961
Paris,France,,Traditional Fixed Voice,Construction,250+ Emp,82496.0858,73492.7713,65318.74598,57795.21797,51592.01499,45979.09529,40833.84942,36127.66686,31514.23035,27140.20065,23044.54902,19262.56025,15823.98419
Paris,France,,Traditional Fixed Voice,"Finance, Insurance, and Real Estate",250+ Emp,237314.2884,215068.536,194928.1782,176290.6459,161443.4248,148161.8909,135763.5013,121910.0309,108784.9528,95810.81397,83174.55753,71062.91742,59654.30391
Paris,France,,Traditional Fixed Voice,Manufacturing,250+ Emp,99140.80262,86769.06807,75545.60982,65662.22533,57915.4806,51084.86374,44958.68808,38847.91599,33327.69754,28215.36142,23540.11683,19324.40789,15582.35574
Paris,France,,Traditional Fixed Voice,Nonclassified Establishments,250+ Emp,78501.93477,69847.78837,62028.17969,54811.28445,48875.59061,43514.09508,38612.34098,34118.21221,29728.15819,25573.12953,21689.17587,18108.6991,14858.73322
Paris,France,,Traditional Fixed Voice,Public Administration,250+ Emp,301121.7267,268640.4893,239576.8734,211385.9642,188513.5015,167399.676,147891.4091,131188.7454,114287.1352,98294.95755,83350.34423,69577.29419,57079.07574
Paris,France,,Traditional Fixed Voice,Wholesale & retail trade,250+ Emp,94926.59885,84806.83934,75515.4561,67085.81284,60247.35949,54051.21204,48336.8085,42859.83976,37567.40809,32510.39983,27739.14926,23300.522,19235.58324
Paris,France,,Traditional Fixed Voice,Services,250+ Emp,91438.51544,82278.20683,74202.01267,66326.55857,59944.02236,54093.16331,48668.59336,43544.94619,38442.65425,33505.66021,28791.33838,24354.91468,20246.88638
Paris,France,,Traditional Fixed Voice,Transportation and Public Utilities,250+ Emp,219196.7083,194779.8767,173443.5225,152009.1331,135652.0459,120575.3106,106859.4948,94223.4723,81953.68052,70372.18658,59575.23699,49648.27393,40661.29675
Paris,France,,IP Voice,"Agriculture, Forestry, and Fishing plus mining",1-9 Emp,44.52862511,49.10706153,54.77663156,61.54257183,68.73285839,75.63382918,81.38207294,86.13845852,90.4455079,94.58649199,98.5428682,102.2988521,105.8417567
Paris,France,,IP Voice,Construction,1-9 Emp,47.7382088,52.69158722,58.84545857,66.20840883,74.03085746,81.56673575,87.87780663,93.12864672,97.91053477,102.5258258,106.9539153,111.1770792,115.1808598
Paris,France,,IP Voice,"Finance, Insurance, and Real Estate",1-9 Emp,65.450231,72.78827412,82.67524147,93.65348605,105.7294084,117.4839313,127.6346458,136.8130048,145.2392838,153.5655656,161.7553512,169.7752368,177.5956941
