building_id,s_ocn,cust_name,man_employee_total,db_country_name,db_nace_code,db_employee_here,db_employee_total,db_sic_code,db_industry,db_industry_level_1,db_industry_level_2,db_industry_level_3,gl_revenue_year_2014,db_duns,sfdc_account_name,carrier_voice,colocation,colt_total,customer_asset_sales_data,customer_asset_sales_managed_services,data_centre_services,data_centre_services_installation_adjustment,data_installation_adjustment,dedicated_hosting,ethernet_point_to_point,ethernet_vpn,high_speed_service,incoming,in_services,intercompany_voice,internet_access,ip_voice,ipvpn_corporate,link,managed_service_installation_adjustment,other_bandwidth,other_misc_data,other_voice,professional_services,reseller_voice,shared_hosting,voice_connect,voice_line,others,channel
DEBAD-0000000464,A0146663,LI-COR BIOSCIENCES GMBH,28,0,0,0,0,0,0,0,0,0,9276,0,Li-Cor Biosciences GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9276.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AGENTS
DEBAD-0000000924,666762,MVV CONSULTANTS AND WATER ENGINEERS GMBH,53,GERMANY,74.2,0,53,8711,Services,70..89 - Services,"87 - Engineering, Accounting, Research, Management & Related Services",Engineering services,0,344142711,MVV decon GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TELESALES
DEBAD-0000000924,4149646,KEWILL CSF GMBH,85,GERMANY,72.21,0,85,7372,Services,70..89 - Services,73 - Business Services,Pre packaged software,209596.29,322054586,KEWILL GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65880.01,69857.98,0.00,0.00,1200.00,0.00,41697.79,0.00,0.00,0.00,0.00,14320.01,2916.00,0.00,2400.00,0.00,0.00,0.00,11324.50,0.00,AGENTS
DEBAD-0000002308,3627677,FRESENIUS MEDICAL CARE FRANCE,199,FRANCE,51.46,199,199,5122,Wholesale Trade,50..51 - Wholesale Trade,51 - Wholesale Trade - Non durable Goods,"Drugs, proprietaries & sundries",399519.81,276538857,FRESENIUS MEDICAL CARE FRANCE,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,381519.81,0.00,0.00,0.00,0.00,0.00,18000.00,0.00,0.00,0.00,0.00,0.00,0
DEBAD-0000002308,BLO01,BLOOMBERG L.P.(DE),0,GERMANY,92.4,70,0,7383,Services,70..89 - Services,73 - Business Services,News syndicates,1632527.29,340778398,Bloomberg,0,270455.00,0.00,0.00,0.00,0.00,0.00,0.00,799.98,528946.73,273752.44,0.00,0.00,0.00,0.00,36230.58,0.00,0.00,508752.95,0.00,0.00,0.00,0.00,11263.26,0.00,0.00,0.00,2326.25,0.00,0
DEBAD-0000002308,DE25774,FRESENIUS NETCARE GMBH,130,GERMANY,0,0,130,7371,Services,70..89 - Services,73 - Business Services,Computer programming services,115464.72,314475182,Fresenius Netcare GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78776.01,0.00,0.00,0.00,0.00,0.00,29497.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,7191.20,0.00,0
DEBAD-0000004790,526075,FERI FINANCE AG,63,GERMANY,74.15,0,63,6719,"Finance, Insurance & Real Estate","60..67 - Finance, Insurance & Real Estate",67 - Holding & Other Investment Offices,Offices of holding companies N.E.C.,22346.29,314276218,Feri AG,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10512.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11834.02,0.00,AGENTS
DEBAD-0000006897,A0148617,EXPERTIME GMBH & CO. KG,2,0,0,0,0,0,0,0,0,0,4548,0,Expertime GmbH & Co. KG,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4548.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AGENTS
DEBAD-0000007664,DE25774,FRESENIUS NETCARE GMBH,130,GERMANY,0,0,130,7371,Services,70..89 - Services,73 - Business Services,Computer programming services,115464.72,314475182,Fresenius Netcare GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78776.01,0.00,0.00,0.00,0.00,0.00,29497.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,7191.20,0.00,0
DEBAD-0000008144,DE25774,FRESENIUS NETCARE GMBH,130,GERMANY,0,0,130,7371,Services,70..89 - Services,73 - Business Services,Computer programming services,115464.72,314475182,Fresenius Netcare GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78776.01,0.00,0.00,0.00,0.00,0.00,29497.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,7191.20,0.00,0
DEBAD-0000008338,DE43313,UHDE GMBH DORTMUND,2000,GERMANY,72.22,0,2000,7371,Services,70..89 - Services,73 - Business Services,Computer programming services,2025025.29,328200803,tm Mittelstand GmbH,23429.81,18564.00,592.93,0.00,0.00,0.00,0.00,0.00,50.00,376963.86,105432.51,87741.33,0.00,10647.42,0.00,896686.36,-5967.11,0.00,58421.44,0.00,61252.65,44692.27,0.00,1146.54,36919.77,31713.27,0.00,276738.30,0.00,FRANCHISE
DEBAD-0000009405,4146348,JOHANNITER-UNFALL-HILFE E.V.,12100,GERMANY,85.14,0,12100,8099,Services,70..89 - Services,80 - Health Services,Health & allied services N.E.C.,1063449.47,315995696,Johanniter-Unfall-Hilfe e.V.,0,16218.00,0.00,0.00,0.00,0.00,0.00,0.00,165412.67,0.00,0.00,0.00,0.00,0.00,0.00,4350.00,0.00,876268.71,0.00,0.00,0.00,0.00,0.00,1200.00,0.00,0.00,0.10,0.00,0.00,AGENTS
DEBAD-0000010522,DE10077,LILLY DEUTSCHLAND GMBH,930,GERMANY,24.41,0,930,2834,Manufacturing,20..39 - Manufacturing,28 - Chemicals & Allied Products,Pharmaceutical preparations,83836.5,318666443,LILLY Deutschland GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41296.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5692.39,36847.31,0.00,AGENTS
