company_name,company_label,address,address_2,postcode,city,sic_4,sic_2,sic_industry_german,sic_industry_english,solon_av_industry,employees,employees_bracket,lat,lon
Frische Kruter Klaus Jung,Frische Kruter Klaus Jung,Dieburger Str. 36,,60386,Frankfurt am Main,139,1,"Sonstige Feldfrchte, auer Getreide",Agricultural Production - Crops,"Agriculture, Forestry, and Fishing plus Mining",15,Small 10-49,50.11543,8.76567
Gtte Landschaftsarchitekten GmbH,Gtte Landschaftsarchitekten,Hunsrckstr. 56,,65929,Frankfurt am Main,781,7,"Landschaftsarchitektur, -beratung u. -planung",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",11,Small 10-49,50.1079184,8.5290299
Spiel(t)rume Gartengestaltung Georg Braun e.K.,Spiel(t)rume Gartengestaltung,Engelthaler Str. 5,,60435,Frankfurt am Main,781,7,"Landschaftsarchitektur, -beratung u. -planung",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",15,Small 10-49,50.14965,8.68137
Stefan Mller Baumdienst e.K.,Stefan Mller Baumdienst e.K.,Hgelstr. 191,,60431,Frankfurt am Main,781,7,"Landschaftsarchitektur, -beratung u. -planung",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",16,Small 10-49,50.14609,8.65897
Baumpflege Rahmann GmbH & Co. KG,Baumpflege Rahmann GmbH & Co.,Finkenhofstr. 17,,60322,Frankfurt am Main,781,7,"Landschaftsarchitektur, -beratung u. -planung",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",16,Small 10-49,50.1213607,8.6786492
Rokopf Garten + Landschaftsbau GmbH & Co. KG,Rokopf Garten +,Zum Eiskeller 17,,60529,Frankfurt am Main,781,7,"Landschaftsarchitektur, -beratung u. -planung",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",50,Small 10-49,50.07729,8.60366
Immo Herbst Baum GmbH,Immo Herbst Baum GmbH,Silostr. 56-58,,65929,Frankfurt am Main,781,7,"Landschaftsarchitektur, -beratung u. -planung",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",160,Medium 50-249,50.09918,8.52398
gernot prie - garten & landschaft,gernot prie - garten &,Alt Eschersheim 81,,60433,Frankfurt am Main,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",11,Small 10-49,50.1625209,8.6566924
Vohrmann Garten- und Landschaftsbau GmbH,Vohrmann Garten- und,Ziegenhainer Str. 26a,,60433,Frankfurt am Main,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",11,Small 10-49,50.15446,8.67227
Schmidt & Wiesberg GmbH Garten- und Landschaftsbau,Schmidt & Wiesberg GmbH,Niedereschbacher Str. 74,,60437,Frankfurt am Main,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",11,Small 10-49,50.1999548,8.6940609
Green-World e.K.,Green-World e.K.,Alt Fechenheim 34,,60386,Frankfurt am Main,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",17,Small 10-49,50.12858,8.7672
Macastena GmbH,Macastena GmbH,Seegewann 4,,60489,Frankfurt am Main,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",20,Small 10-49,50.1271623,8.5977816
