company_name,company_label,address,address_2,postcode,city,sic_4,sic_2,sic_industry_german,sic_industry_english,solon_av_industry,employees,employees_bracket,lat,lon,country
awa - Auto - Wasch - GmbH & Co KG,awa - Auto - Wasch - GmbH & Co KG,Hanauer Landstr. 360-400,,60386,Frankfurt am Main,7542,75,Autowaschanlagen,"Automotive Repair, Services and Parking",Services,66,Medium 50 - 249, 50.1299030   , 8.7527319   ,Germany
.bieker AG,.bieker AG,Walter-Kolb-Str. 5-7,,60594,Frankfurt am Main,8712,87,Architektendienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,25,Small 10 - 49, 50.1059565   , 8.6869270   ,Germany
01072 Telecom GmbH,01072 Telecom GmbH,Berner Str. 119,,60437,Frankfurt am Main,4813,48,Telekommunikation (außer drahtlos),Communications,Transportation and Public Utilities,14,Small 10 - 49, 50.1903000   , 8.6577400   ,Germany
10 Brands Only Werbeagentur GmbH,10 Brands Only Werbeagentur,Offenbacher Landstr. 7-13,,60599,Frankfurt am Main,7311,73,Werbeagenturen,Business Services,Services,10,Small 10 - 49, 50.1010210   , 8.6920231   ,Germany
1822direkt Gesellschaft der Frankfurter Sparkasse mbH,1822direkt Gesellschaft der,Borsigallee 19,,60388,Frankfurt am Main,6099,60,Sonstige Anlagendienste,Depository Institutions,"Finance, Insurance, and Real Estate",149,Medium 50 - 249, 50.1367800   , 8.7429000   ,Germany
25hours Hotel Company Frankfurt GmbH,25hours Hotel Company,Hanauer Landstr. 127,,60314,Frankfurt am Main,7011,70,"Hotels, Motels","Hotels, Rooming Houses, Camps, and Other Lodging Places",Services,20,Small 10 - 49, 50.1119900   , 8.7128595   ,Germany
"2COM Immobilien Competence, Consulting & Management GmbH & Co. KG","2COM Immobilien Competence,",Herriotstr. 1,,60528,Frankfurt am Main,6531,65,"Immobilien-Agenten, Makler u. Verwalter",Real Estate,"Finance, Insurance, and Real Estate",20,Small 10 - 49, 50.0810641   , 8.6296390   ,Germany
2IP Institutional Investment-Partners Group GmbH,2IP Institutional,Hamburger Allee 45,,60486,Frankfurt am Main,6799,67,Sonstige Investoren,Holding and Other Investment Offices,"Finance, Insurance, and Real Estate",15,Small 10 - 49, 50.1162158   , 8.6446802   ,Germany
3 B (MANAGEMENT) GmbH & Co. KG,3 B (MANAGEMENT) GmbH & Co. KG,Walther-von-Cronberg-Platz 13,,60594,Frankfurt am Main,5812,58,"Restaurants, Schnellimbiß usw.",Eating and Drinking Places,Services,30,Small 10 - 49, 50.1059565   , 8.6869270   ,Germany
360 Treasury Systems AG,360 Treasury Systems AG,Grüneburgweg 16-18,,60322,Frankfurt am Main,7372,73,Fertige Software,Business Services,Services,105,Medium 50 - 249, 50.1213400   , 8.6720600   ,Germany
