company_name,company_label,address,address_2,postcode,city,sic_4,sic_2,sic_industry_german,sic_industry_english,solon_av_industry,employees,employees_bracket,lat,lon,country
SAFER DE L ILE DE FRANCE,SAFER DE L ILE DE FRANCE,19 RUE D ANJOU,,75008,Paris,119,1,Sonstige Getreide,Agricultural Production - Crops,"Agriculture, Forestry, and Fishing plus Mining",24,#REF!,48.8702723,2.3210734,France
CHATEAU MONBOUSQUET,CHATEAU MONBOUSQUET,46 RUE SAINT FERDINAND,,75017,Paris,172,1,Weintrauben,Agricultural Production - Crops,"Agriculture, Forestry, and Fishing plus Mining",14,#REF!,48.8775299,2.2862488,France
DOMAINES CGR,DOMAINES CGR,40 R NOTRE DAME DES VICTOIRES,,75002,Paris,172,1,Weintrauben,Agricultural Production - Crops,"Agriculture, Forestry, and Fishing plus Mining",30,#REF!,48.8688848,2.3422556,France
DOMAINE CLARENCE DILLON,DOMAINE CLARENCE DILLON,41 AVENUE GEORGE V,,75008,Paris,172,1,Weintrauben,Agricultural Production - Crops,"Agriculture, Forestry, and Fishing plus Mining",105,#REF!,48.8702065,2.300587,France
LE HARAS DES M,LE HARAS DES M,HARAS DES M,47 BOULEVARD DE COURCELLES,75008,Paris,272,2,Pferde u. verwandte Tiere,Agricultural Production - Livestock and Animal Specialties,"Agriculture, Forestry, and Fishing plus Mining",10,#REF!,48.8791762,2.3045971,France
BARON GUY DE ROTHSCHILD,BARON GUY DE ROTHSCHILD,10 RUE DE COURCELLES,,75008,Paris,272,2,Pferde u. verwandte Tiere,Agricultural Production - Livestock and Animal Specialties,"Agriculture, Forestry, and Fishing plus Mining",50,#REF!,48.8737112,2.3114014,France
CIE FERMIERE BENJAMIN EDMOND ROT,CIE FERMIERE BENJAMIN EDMOND,47 RUE DU FAUBOURG SAINT HONORE,,75401,Paris Cedex 08,291,2,"Allgemeine Landwirtschaft, haupts_chl. Viehzucht",Agricultural Production - Livestock and Animal Specialties,"Agriculture, Forestry, and Fishing plus Mining",20,#REF!,48.869868,2.317843,France
SCP PHQGGR,SCP PHQGGR,5 RUE DUBRUNFAUT,,75012,Paris,741,7,"Veterin_rdienst f. lebend. Vieh, einschl. Tierpraxen u. -krankenh_user",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",10,#REF!,48.8396433,2.3900222,France
SELARL BKUPFER,SELARL BKUPFER,17 BD DES FILLES DU CALVAIRE,,75003,Paris,741,7,"Veterin_rdienst f. lebend. Vieh, einschl. Tierpraxen u. -krankenh_user",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",11,#REF!,48.8628423,2.3666466,France
SELAS FAMILYVETS,SELAS FAMILYVETS,15 RUE LA BOETIE,,75008,Paris,741,7,"Veterin_rdienst f. lebend. Vieh, einschl. Tierpraxen u. -krankenh_user",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",15,#REF!,48.8741672,2.3178478,France
SELARL DE VETERINAIRES C.G.S.,SELARL DE VETERINAIRES C.G.S.,11 RUE HENRI RIBIERE,,75019,Paris,741,7,"Veterin_rdienst f. lebend. Vieh, einschl. Tierpraxen u. -krankenh_user",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",15,#REF!,48.8767948,2.3954795,France
BRUNE GENETIQUE SERVICES,BRUNE GENETIQUE SERVICES,149 RUE DE BERCY,,75012,Paris,751,7,"Viehzucht, Medizin, Betreuung, Qualit_tspr™fung",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",16,#REF!,48.8409665,2.3756433,France
SARL L'AVENIR,SARL L'AVENIR,CHEZ CIE FERM SAINT HONORE,32 BOULEVARD FLANDRIN,75116,Paris,751,7,"Viehzucht, Medizin, Betreuung, Qualit_tspr™fung",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",31,#REF!,48.8668412,2.2732512,France
UNION NAT COOP AGRICOL ELEVA INS,UNION NAT COOP AGRICOL ELEVA,149 RUE DE BERCY,,75595,Paris Cedex 12,751,7,"Viehzucht, Medizin, Betreuung, Qualit_tspr™fung",Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",33,#REF!,48.8409665,2.3756433,France
B2M SERVICES,B2M SERVICES,103 BOULEVARD MACDONALD,,75019,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",10,#REF!,48.8982045,2.3845777,France
EDEN PARC,EDEN PARC,21 RUE DOUDEAUVILLE,,75018,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",10,#REF!,48.8885241,2.3566867,France
ARBR' O' PARC,ARBR' O' PARC,ESCALIER B FOND DE COUR,20 PASSAGE DE LA BONNE GRAINE,75011,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",10,#REF!,48.8523669,2.3774049,France
DRF BAT,DRF BAT,14 CITE GRISET,,75011,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",10,#REF!,48.8671806,2.3785509,France
NCI PAYSAGE,NCI PAYSAGE,7 RUE DU DOCTEUR LANCEREAUX,,75008,Paris,782,7,Rasen- u. Gartenpflege,Agricultural Services,"Agriculture, Forestry, and Fishing plus Mining",12,#REF!,48.876269,2.3117502,France
