region,department,city_code,coverage_cities,co_nickname,ft_co_id,address,zip_code,city,full_address,xng_site_name,xng_site_id,lat,lon
Ile de France,75,PARIS 08,75008 Paris,ANJOU,75108ANJ,11 rue d'Anjou,75008,PARIS,"75108ANJ, ANJOU, 11 rue d'Anjou, 75008 PARIS",FR_75008_RUE DANJOU_11_1_DPAGE,PAR00574/01_CAA ANJOU 3 ET 4,48.8700401,2.3209337
Ile de France,75,PARIS 16,75016 Paris,AUTEUIL,75116AUT,21 rue Jasmin,75016,PARIS,"75116AUT, AUTEUIL, 21 rue Jasmin, 75016 PARIS",FR_75016_RUE JASMIN_21_INC_DPAGE,PAR01897/02_CAA AUTEUIL 4,48.8516667,2.2667438
Ile de France,75,PARIS 16,75016 Paris,BASSANO,75116BAS,10 rue Bassano,75016,PARIS,"75116BAS, BASSANO, 10 rue Bassano, 75016 PARIS",FR_75016_RUE DE BASSANO_10_INC_DPAGE,PAR01798/02_CAA BASSANO 2,48.8681743,2.2961652
Ile de France,75,PARIS 03,75003 Paris,TURBIGO / BONDEVILLE,75103BDV,6 rue des Haudriettes,75003,PARIS,"75103BDV, TURBIGO / BONDEVILLE, 6 rue des Haudriettes, 75003 PARIS",FR_75003_RUE DES HAUDRIETTES_6/9_3SS_DPAGE,PAR00355/02_CAA TURBIGO BONDEV,48.8616892,2.3575332
Ile de France,75,PARIS 08,75008 Paris,BEAUJON,75108BEA,206 rue du Faubourg St Honore,75008,PARIS,"75108BEA, BEAUJON, 206 rue du Faubourg St Honore, 75008 PARIS",FR_75008_DUFAUBOURGSAINTHONORERUE_206_2SS_S2_DPAGE,PAR00841/03_CAA BEAUJON,48.8751531,2.3051087
Ile de France,75,PARIS 13,75013 Paris,BOBILLOT,75113BOB,95 rue Bobillot,75013,PARIS,"75113BOB, BOBILLOT, 95 rue Bobillot, 75013 PARIS",FR_75013_RUE BOBILLOT_95_INC_DPAGE,PAR01542/02_CAA BOBILLOT 3,48.8246634,2.3493956
Ile de France,75,PARIS 17,75017 Paris,CARNOT,75117CAR,23 rue Mederic,75017,PARIS,"75117CAR, CARNOT, 23 rue Mederic, 75017 PARIS",FR_75017_RUE MEDERIC_23_INC_DPAGE,PAR02094/02_CAA CARNOT,48.8811505,2.304242
Ile de France,75,PARIS 15,75015 Paris,CEVENNES,75115CEV,40 rue Balard / 9 rue Cauchy,75015,PARIS,"75115CEV, CEVENNES, 40 rue Balard / 9 rue Cauchy, 75015 PARIS",FR_75015_RUE CAUCHY_9_INC_DPAGE,PAR01655/02_CAA CEVENNES 2,48.8430824,2.2760275
Ile de France,75,PARIS 05,75005 Paris,DANTON,75105DAN,91 boulevard St Michel,75005,PARIS,"75105DAN, DANTON, 91 boulevard St Michel, 75005 PARIS",FR_75005_BOULEVARD SAINT-MICHEL_91_INC_DPAGE,PAR00428/02_CAA DANTON 4,48.8447981,2.3402258
Ile de France,75,PARIS 12,75012 Paris,DIDEROT,75112DID,187 avenue Daumesnil,75012,PARIS,"75112DID, DIDEROT, 187 avenue Daumesnil, 75012 PARIS",FR_75012_AVENUE DAUMESNIL_187_INC_DPAGE,PAR01469/02_CAADIDEROT4&5&6,48.8403104,2.3933579
Ile de France,75,PARIS 05,75005 Paris,GOBELINS,75105GOB,40 boulevard Port Royal,75005,PARIS,"75105GOB, GOBELINS, 40 boulevard Port Royal, 75005 PARIS",FR_75005_BOULEVARD DE PORT-ROYAL_40_INC_DPAGE,PAR00410/02_CAA GOBELINS 3,48.8374947,2.3480118
Ile de France,75,PARIS 01,75001 Paris,GUTENBERG,75101GUT,55 rue Jean Jacques Rousseau,75001,PARIS,"75101GUT, GUTENBERG, 55 rue Jean Jacques Rousseau, 75001 PARIS",FR_75001_RUE JEAN JACQUES ROUSSEAU_55_INC_DPAGE,PAR00090/02_CAA GUTENBERG,48.8642473,2.3431925
