provider,postcode,city,address,verizon_nodename,lat,lon
Verizon,94110,ARCUEIL,18 RUE BERTHOLLET,PARIS PA4 (FRA001T1),48.8042647,2.3296633
Verizon,94110,ARCUEIL,4 RUE BERTHOLLET,PARIS PA4 (FRA001T1),48.8034851,2.3320898
Verizon,93300,AUBERVILLIERS,10 RUE WALDECK ROCHET,PARIS PA4 (FRA001T1),48.9101293,2.3681986
Verizon,93300,AUBERVILLIERS,10 AVENUE WALDRECK ROCHET,PARIS PA4 (FRA001T1),48.9139653,2.3680156
Verizon,93300,AUBERVILLIERS,153 AVENUE JEAN JAURES,PARIS PA4 (FRA001T1),48.9093153,2.3973157
Verizon,93300,AUBERVILLIERS,45 AVENUE VICTOR HUGO,PARIS PA4 (FRA001T1),48.9021181,2.3695012
Verizon,93300,AUBERVILLIERS,45 AVENUE VICTOR HUGO BAT 254-ZONE EMGP POP REFERENCE IS FRA232C2,PARIS PA4 (FRA001T1),48.912259,2.384049
Verizon,92270,BOIS COLOMBES,60 AVENUE DE L EUROPE,PARIS PA4 (FRA001T1),48.9068624,2.2608679
Verizon,33300,BORDEAUX,33 RUE DU VERGNE,PARIS PA4 (FRA001T1),44.8911194,-0.5611355
Verizon,33000,BORDEAUX,RUE DU DOCTEUR GABRIEL PERI,BORDEAUX NETCENTER (FRA458C1),44.8901045,-0.5575859
Verizon,92100,BOULOGNE BILLANCOURT,1 QUAI DU POINT DU JOUR,PARIS PA4 (FRA001T1),48.8339709,2.2610514
Verizon,92100,BOULOGNE BILLANCOURT,127 RUE D AGUESSEAU,PARIS PA4 (FRA001T1),48.8379472,2.2382425
Verizon,92100,BOULOGNE BILLANCOURT,131 RUE D AGUESSEAU,PARIS PA4 (FRA001T1),48.8378053,2.2382433
Verizon,92100,BOULOGNE BILLANCOURT,39 RUE DE LA SAUSSIERE,PARIS PA4 (FRA001T1),48.8374799,2.2406037
Verizon,92100,BOULOGNE BILLANCOURT,4 PLACE DES AILES,PARIS PA4 (FRA001T1),48.8323084,2.2352003
Verizon,92100,BOULOGNE BILLANCOURT,65 QUAI GEORGES GORSE,PARIS PA4 (FRA001T1),48.8260019,2.2336198
Verizon,92100,BOULOGNE BILLANCOURT,150 RUE GALLIENI,PARIS PA4 (FRA001T1),48.8360609,2.2354263
Verizon,94360,BRY SUR MARNE,2-4 AVENUE DES FRERES LUMIERE,PARIS PA4 (FRA001T1),48.8385298,2.5365709
Verizon,77600,BUSSY ST GEORGES,6BIS AVENUE GUTENBERG,PARIS PA4 (FRA001T1),48.8310349,2.7298851
Verizon,77600,BUSSY ST GEORGES,ALLEE DES BOIS DE BUSSY,PARIS PA4 (FRA001T1),48.8277725,2.7325911
Verizon,33610,CANEJAN,37 RUE THOMAS EDISON,PARIS PA4 (FRA001T1),44.7739773,-0.657613
Verizon,35135,CHANTEPIE,17BIS RUE DES LOGES BUILDING JUNON,MONTPELLIER (FRT007),48.089126,-1.618455
Verizon,94220,CHARENTON LE PONT,147 RUE DE PARIS,PARIS PA4 (FRA001T1),48.8263856,2.4056374
Verizon,86360,CHASSENEUIL DU POITOU,1 1 AVENUE DU FUTUROSCOPE AEROBASE 2. TELEPORT,BORDEAUX NETCENTER (FRA458C1),46.650703,0.374772
Verizon,86360,CHASSENEUIL DU POITOU,4 RUE BLAISE PASCAL,BORDEAUX NETCENTER (FRA458C1),46.662467,0.3603322
Verizon,92320,CHATILLON,20 RUE DE L AVENIR,PARIS PA4 (FRA001T1),48.8099543,2.3008216
Verizon,92320,CHATILLON,6 RUE ANDRE GIDE,PARIS PA4 (FRA001T1),48.8106407,2.2997187
Verizon,77700,CHESSY,PARC D' ATTRACTION,PARIS PA4 (FRA001T1),48.8784616,2.7657959
Verizon,38121,CHONAS L AMBALLAN,ZONE ARTISANALE LE GRAND CHAMP,LYON (LYON),45.460615,4.811974
Verizon,92110,CLICHY,57-59 RUE HENRI BARBUSSE,PARIS PA4 (FRA001T1),48.899311,2.303953
Verizon,92110,CLICHY,92-98 BOULEVARD VICTOR HUGO,PARIS PA4 (FRA001T1),48.9011235,2.3177635
Verizon,92110,CLICHY,14 RUE JEANNE D ASNIERES,PARIS PA4 (FRA001T1),48.9012357,2.2967846
Verizon,92110,CLICHY,7-9 RUE PETIT,PARIS PA4 (FRA001T1),48.8996786,2.2962361
Verizon,77090,COLLEGIEN,1 ALLEE DU CLOS DES CHARMES,PARIS PA4 (FRA001T1),48.8283889,2.6783902
Verizon,77090,COLLEGIEN,35 ALLEE DU CLOS DES CHARMES,PARIS PA4 (FRA001T1),48.8303613,2.6724877
Verizon,92400,COURBEVOIE,1 PLACE DES SAISONS BUILDING FIRST,PARIS PA4 (FRA001T1),48.900552,2.25929
Verizon,92400,COURBEVOIE,1 PLACE VICTOR HUGO,PARIS PA4 (FRA001T1),48.8921103,2.2535798
Verizon,92400,COURBEVOIE,16 CB21 PLACE DE L' IRIS,PARIS PA4 (FRA001T1),48.8890389,2.2493789
Verizon,92400,COURBEVOIE,170 RUE HENRI REGNAULT,PARIS PA4 (FRA001T1),48.8936038,2.2428593
Verizon,92400,COURBEVOIE,20 AVENUE ANDRE PROTHIN,PARIS PA4 (FRA001T1),48.891884,2.2442652
Verizon,92400,COURBEVOIE,20 PLACE DE SEINE,PARIS PA4 (FRA001T1),48.8894898,2.2540849
Verizon,92400,COURBEVOIE,25 QUAI PAUL DOUMER,PARIS PA4 (FRA001T1),48.8914162,2.2577876
Verizon,92400,COURBEVOIE,6 RUE D' ATHENES,PARIS PA4 (FRA001T1),48.9257669,2.2451806
Verizon,92400,COURBEVOIE,6-8 ALLEE DE L ARCHE,PARIS PA4 (FRA001T1),48.8951966,2.2368502
Verizon,92400,COURBEVOIE,7-11 ALLEE DE L' ARCHE TOUR EGEE,PARIS PA4 (FRA001T1),48.8950126,2.238045
Verizon,92400,COURBEVOIE,9 RUE MOULIN DES BRUYERES LE CRISTALLIN,PARIS PA4 (FRA001T1),48.900552,2.25929
Verizon,92400,COURBEVOIE,9-11 ALLEE DE L ARCHE,PARIS PA4 (FRA001T1),48.8950126,2.238045
Verizon,92400,COURBEVOIE,90-102 ESPLANADE GENERAL DE GAULLE,PARIS PA4 (FRA001T1),48.8906312,2.2432261
Verizon,92400,COURBEVOIE,QUAI PAUL DOUMER RUE DE L' ABREUVOIR,PARIS PA4 (FRA001T1),48.8910037,2.2551345
Verizon,92400,COURBEVOIE,100-110 ESPLANADE GENERAL DE GAULLE,PARIS PA4 (FRA001T1),48.8914361,2.2444025
Verizon,92400,COURBEVOIE,124 124 BOULEVARD DE VERDUN RUE DU MOULIN DES BRUYERES,PARIS PA4 (FRA001T1),49.1043127,5.3815653
Verizon,92400,COURBEVOIE,130-136 BOULEVARD DE VERDUN,PARIS PA4 (FRA001T1),48.9041905,2.2571322
Verizon,92400,COURBEVOIE,19-29 RUE DU CAPITAINE GUYNEMER,PARIS PA4 (FRA001T1),48.8954249,2.2427655
Verizon,92400,COURBEVOIE,2 6 PLACE DE LA COUPOLE LA DEFENSE,PARIS PA4 (FRA001T1),48.892263,2.2425875
Verizon,92400,COURBEVOIE,61 RUE HENRI REGNAULT BUILDING EXALTIS,PARIS PA4 (FRA001T1),48.900552,2.25929
Verizon,94000,CRETEIL,81 BOULEVARD JEAN BAPTISTE OUDRY,PARIS PA4 (FRA001T1),48.7719867,2.4622426
Verizon,77183,CROISSY BEAUBOURG,33 RUE DE VIELLES VIGNES,PARIS PA4 (FRA001T1),48.817491,2.6420028
Verizon,77183,CROISSY BEAUBOURG,4 RUE DES VIEILLES VIGNES,PARIS PA4 (FRA001T1),48.8221614,2.6430292
Verizon,59170,CROIX,12 RUE CENTENAIRE,LILLE (FRL02M1),50.6728647,3.1494417
Verizon,21000,DIJON,13 RUE DU JARDIN DES PLANTES,DIJON RAINES (POI) (FRA197),47.3191216,5.0285854
Verizon,28100,DREUX,11 RUE ETHE VIRTON,PARIS PA4 (FRA001T1),48.7420317,1.378879
Verizon,28100,DREUX,2 RUE DES OSMEAUX ZI DES CHATELETS,PARIS PA4 (FRA001T1),48.7485366,1.3968742
Verizon,28100,DREUX,4 RUE DOGUEREAU,PARIS PA4 (FRA001T1),48.7348541,1.3689932
Verizon,28100,DREUX,RUE ETHE VIRTON,PARIS PA4 (FRA001T1),48.743265,1.381395
Verizon,78990,ELANCOURT,2 AVENUE GAY LUSSAC,PARIS PA4 (FRA001T1),48.7906406,1.9741556
