industry_name,employees_at_location_range,product_type,product,year,currency,spend
"Finance, Insurance, and Real Estate",1-4 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,148.3692955
"Finance, Insurance, and Real Estate",5-9 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,339.0039476
"Finance, Insurance, and Real Estate",10-24 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1745.013844
"Finance, Insurance, and Real Estate",25-49 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1745.013844
"Finance, Insurance, and Real Estate",50-99 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,6697.871981
"Finance, Insurance, and Real Estate",100-249 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,14784.36286
"Finance, Insurance, and Real Estate",250-499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,32622.6412
"Finance, Insurance, and Real Estate",500-999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,64251.41909
"Finance, Insurance, and Real Estate",1000-2499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,335151.2047
"Finance, Insurance, and Real Estate",2500-4999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,335151.2047
"Finance, Insurance, and Real Estate",5000-9999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,2891590.092
"Finance, Insurance, and Real Estate",10000+ Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,2891590.092
Public Administration,1-4 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,35.03850854
Public Administration,5-9 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,164.3845958
Public Administration,10-24 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,920.9471577
Public Administration,25-49 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,920.9471577
Public Administration,50-99 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,4938.488668
Public Administration,100-249 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,18662.05554
Public Administration,250-499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,40522.09243
Public Administration,500-999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,134692.314
Public Administration,1000-2499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,759186.393
Public Administration,2500-4999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,759186.393
Public Administration,5000-9999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,4215344.122
Public Administration,10000+ Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,4215344.122
Services,1-4 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,116.3784816
Services,5-9 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,395.8751214
Services,10-24 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1633.824834
Services,25-49 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1633.824834
Services,50-99 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,4327.502652
Services,100-249 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,7948.139901
Services,250-499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,19589.25927
Services,500-999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,48964.34364
Services,1000-2499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,211066.9115
Services,2500-4999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,211066.9115
Services,5000-9999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1311343.652
Services,10000+ Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1311343.652
"Agriculture, Forestry, and Fishing plus Mining",1-4 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,55.33985344
"Agriculture, Forestry, and Fishing plus Mining",5-9 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,230.7784059
"Agriculture, Forestry, and Fishing plus Mining",10-24 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,906.2951985
"Agriculture, Forestry, and Fishing plus Mining",25-49 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,906.2951985
"Agriculture, Forestry, and Fishing plus Mining",50-99 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,2397.530339
"Agriculture, Forestry, and Fishing plus Mining",100-249 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,4117.68507
"Agriculture, Forestry, and Fishing plus Mining",250-499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,12131.27103
"Agriculture, Forestry, and Fishing plus Mining",500-999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,28819.53068
"Agriculture, Forestry, and Fishing plus Mining",1000-2499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,160628.2783
"Agriculture, Forestry, and Fishing plus Mining",2500-4999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,160628.2783
"Agriculture, Forestry, and Fishing plus Mining",5000-9999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,0
"Agriculture, Forestry, and Fishing plus Mining",10000+ Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,0
Manufacturing,1-4 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,121.6898817
Manufacturing,5-9 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,320.3470309
Manufacturing,10-24 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1807.120771
Manufacturing,25-49 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1807.120771
Manufacturing,50-99 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,3640.030051
Manufacturing,100-249 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,5457.380692
Manufacturing,250-499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,9237.614137
Manufacturing,500-999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,21237.52272
Manufacturing,1000-2499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,132665.2218
Manufacturing,2500-4999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,132665.2218
Manufacturing,5000-9999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1236782.799
Manufacturing,10000+ Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1236782.799
Construction,1-4 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,60.83937249
Construction,5-9 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,253.8536621
Construction,10-24 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,995.5483579
