business,address,city,state,zip,zip4,emps,sic4,sic4desc,bldgid,sourceid,lat,long,accuracy,hqbranch,familyid,familybus,familymsas,geog
CASCADE CROSS FIT,29700 SE HIGH POINT WAY,ISSAQUAH,WA,98027,8886,2,7991,Physical Fitness Facility,37316421,402446733,47.53032,-121.940948,3,2,0,0,0,0101000020E610000025CFF57D387C5EC016359886E1C34740
BRIGHT NOW! DENTAL CTR,755 NW GILMAN BLVD # C4,ISSAQUAH,WA,98027,5357,7,8021,Dentist's Office,9736158,402582060,47.543831,-122.049188,3,2,0,0,0,0101000020E6100000C3D66CE525835EC086C613419CC54740
SHERWOOD CHIROPRACTIC,435 E SUNSET WAY,ISSAQUAH,WA,98027,3440,6,8041,Chiropractor's Office,99959068,174267880,47.529881,-122.029514,3,9,0,0,0,0101000020E61000008C31B08EE3815EC0CAE2FE23D3C34740
DENTAL LEARNING CTR,410 NEWPORT WAY NW,ISSAQUAH,WA,98027,3116,5,8299,School/Educational Service,99958874,402345305,47.534798,-122.04527,3,9,0,0,0,0101000020E61000005B5F24B4E5825EC0ADFBC74274C44740
MERRILL DESIGN,485 RAINIER BLVD N # 103,ISSAQUAH,WA,98027,2835,2,8712,Architectural Service,99959497,928443761,47.535387,-122.037537,3,9,0,0,0,0101000020E6100000F5D8960167825EC00EDAAB8F87C44740
CRESCENT HOME CARE,8165 NE 150TH ST,KENMORE,WA,98028,4742,1,8059,Nursing/Personal Care Service,100039178,210576252,47.736807,-122.229946,3,9,0,0,0,0101000020E610000025766D6FB78E5EC0603B18B14FDE4740
LAKESIDE-MILAM RECOVERY CTR,22605 SE 56TH ST # 230,ISSAQUAH,WA,98029,5297,7,8399,Social Service,15806955,475090106,47.551753,-122.03872,3,9,148371100,12,2,0101000020E6100000DF6C73637A825EC0253CA1D79FC64740
TASTE OF EUROPE,24225 104TH AVE SE,KENT,WA,98030,4972,6,5411,Retailer Of Groceries,37313643,967153883,47.384763,-122.202458,3,9,80223,28,20,0101000020E610000011346612F58C5EC0FDDAFAE93FB14740
MIMI'S HAIR SOLUTION,25451 104TH AVE SE,KENT,WA,98030,6407,2,7231,Beauty Shops,31131496,402770400,47.373529,-122.202631,3,9,0,0,0,0101000020E6100000F88903E8F78C5EC0C58D5BCCCFAF4740
QUAM CHIROPRACTIC CTR,25012 104TH AVE SE # E,KENT,WA,98030,2821,2,8041,Chiropractor's Office,37314060,501594436,47.376873,-122.202179,3,9,0,0,0,0101000020E6100000083C3080F08C5EC06ADFDC5F3DB04740
KENT FOOD BANK,27360 129TH PL SE,KENT,WA,98030,8922,2,8322,Individual/Family Service,14201337,402815315,47.355958,-122.169169,3,9,0,0,0,0101000020E6100000CF9F36AAD38A5EC0F25F200890AD4740
SOLID ART COUNTER TOPS,10512 SE 219TH ST,KENT,WA,98031,2568,3,5712,Retailer Of Furniture,100084576,402354780,47.406588,-122.200852,3,9,0,0,0,0101000020E610000084D558C2DA8C5EC0187959130BB44740
H P PROPERTIES,8521 S 190TH ST,KENT,WA,98031,1224,3,4214,Local Trucking Compnay With Storage,9714544,402127440,47.432035,-122.226874,3,9,148473248,5,3,0101000020E61000000394861A858E5EC01ADD41EC4CB74740
SHEAR ELEGANCE,20538 108TH AVE SE,KENT,WA,98031,1542,1,7231,Beauty Shops,37309999,519085740,47.41698,-122.196757,3,9,0,0,0,0101000020E61000009510ACAA978C5EC0058BC3995FB54740
AAA HEATING & AIR COND,22641 83RD AVE S,KENT,WA,98032,1990,10,1711,Plumbing/Heating/Ac Contractor,27307084,988747754,47.398109,-122.229948,3,9,0,0,0,0101000020E6100000F5F1D077B78E5EC0239F573CF5B24740
VITAL CONSTRUCTION & ELECTRIC,1319 CENTRAL AVE S # C,KENT,WA,98032,7412,5,1731,Electrical Contractor,31292865,654522309,47.368101,-122.230131,3,9,0,0,0,0101000020E6100000EEB25F77BA8E5EC0FD4FFEEE1DAF4740
SAM'S DRYWALL INC,1819 CENTRAL AVE S # 74,KENT,WA,98032,7577,25,1742,Drywall/Insulating Contractor,31310558,402368356,47.367435,-122.230124,3,9,0,0,0,0101000020E61000009581035ABA8E5EC0F0332E1C08AF4740
AMERICAN PRIDE CORP,21838 84TH AVE S,KENT,WA,98032,1959,10,4212,Local Trucking Company,35704375,402343288,47.406522,-122.227787,3,9,0,0,0,0101000020E61000000EDDEC0F948E5EC0618DB3E908B44740
QUALITY CUSTOM DISTRIBUTION,18209 80TH AVE S # C,KENT,WA,98032,2505,125,5141,"Wholesaler Of Groceries, General Line",31239988,402802396,47.437575,-122.233452,3,2,148528143,10,9,0101000020E6100000E44BA8E0F08E5EC00B46257502B84740
FIRESIDE HEARTH & HOME,21402 84TH AVE S,KENT,WA,98032,1961,50,3429,Manufacturer Of Hardware,35704299,501342232,47.410546,-122.227771,3,2,139498,51,29,0101000020E61000008BFED0CC938E5EC076C075C58CB44740
JASON'S KENT FLORAL,128 WASHINGTON AVE N,KENT,WA,98032,4400,2,5992,Retail Florist,37617771,402627130,47.381591,-122.247117,3,9,0,0,0,0101000020E61000004852D2C3D08F5EC056B950F9D7B04740
BERRY PLASTICS,7832 S 198TH ST,KENT,WA,98032,1127,10,5113,Wholesaler Of Industrial And Personal Service Paper,181907588,402801564,47.425806,-122.235744,3,2,172568,118,53,0101000020E61000009B8E006E168F5EC065389ECF80B64740
FARMERS INSURANCE,6617 S 193RD PL # P100,KENT,WA,98032,2197,2,6411,"Insurance Agents, Brokers And Service",13284333,402757683,47.42827,-122.251199,3,2,3001,13423,271,0101000020E61000006D72F8A413905EC0D0ED258DD1B64740
WILL CLEAN,1309 CENTRAL AVE S # E,KENT,WA,98032,7407,3,1521,Single-Family Homes Contractor,32450990,402570595,47.368115,-122.230131,3,9,0,0,0,0101000020E6100000EEB25F77BA8E5EC062156F641EAF4740
BUTTERFLY EMBROIDERY,205 W MEEKER ST,KENT,WA,98032,5820,2,7389,Business Service,31237355,402383394,47.381756,-122.234898,3,9,0,0,0,0101000020E610000055F99E91088F5EC0A1866F61DDB04740
REGIONAL MEDICAL CLINIC AT KNT,6719 S 211TH ST # 102,KENT,WA,98032,2331,4,8011,Medical Doctor's Office,150146273,402368697,47.413123,-122.251111,3,9,0,0,0,0101000020E61000009D2ADF3312905EC0DA1CE736E1B44740
CERTIFIED CALIBRATION SVC,19226 66TH AVE S # L108,KENT,WA,98032,2121,4,8734,Testing Laboratory,31184818,358802510,47.430346,-122.250808,3,9,0,0,0,0101000020E6100000D064FF3C0D905EC072FBE59315B74740
SWEENEY HOMES CO,6520 130TH AVE NE # H104,KIRKLAND,WA,98033,8631,1,1521,Single-Family Homes Contractor,137950056,400098004,47.664991,-122.166485,3,9,0,0,0,0101000020E61000009291B3B0A78A5EC03291D26C1ED54740
SEATTLE SURFACES,218 MAIN ST # 173,KIRKLAND,WA,98033,6108,1,1611,Highway/Street Construction Contractor,32433408,402872224,47.676777,-122.204718,3,9,0,0,0,0101000020E6100000C3B986191A8D5EC0AED7F4A0A0D64740
